1,1,10101001,第1题 试题编号：10101001,标准大气条件下的平均海平面温度是()。,0℃,10℃,15℃,25℃,C,13
2,2,10101002,第2题	试题编号：10101002,标准大气条件下，11KM以下的气温直减率是()。,0.65℃/100m,1.0℃/100m,-0.1℃/100m,是一个变化的量,A,
93,93,10105010,第93题	试题编号：10105010,碎雨云和高积云的简写符号分别为()。,Fc,Ac,Fn,As,Fn,Sc,Fn,Ac,D,
94,94,10105011,第94题	试题编号：10105011,积状云中的降水是()。,连续性降水,间歇性降水,阵性降水,固态降水,C,
95,95,10105012,第95题	试题编号：10105012,波状云中的降水是()。,连续性降水,间歇性降水,阵性降水,固态降水,B,
96,96,10105013,第96题	试题编号：10105013,层状云中的降水是()。,连续性降水,间歇性降水,阵性降水,强降水,A,
97,97,10105014,第97题	试题编号：10105014,对飞行可能造成危害最大的云系是()。,波状云系,层状玄系,堡状云系,飑线云系,D,
98,98,10105015,第98题	试题编号：10105015,最容易产生航空器积冰的降水形态是()。,毛毛雨,阵雨,冻雨,霰,C,
99,99,10105016,第99题	试题编号：10105016,潮湿而不稳定的空气被迫沿山坡上升,所形成的云将是()。,卷状云,厚度不大,无乱流,层状云,有轻度乱流或无乱流,平行于山脉走向的静止的荚状云,积状云,垂直发展旺盛,有阵雨,D,
100,100,10105017,第100题	试题编号：10105017,下列何组云是按云底高度由高到低排列的()。,浓积云,卷层云,层积云,卷层云,高层云,雨层云,雨层云,高层云,层积云,卷积云,高积云,卷层云,B,
101,101,10105018,第101题	试题编号：10105018,云和降水的水平范围通常都很大的云是（）。,高层云和高积云,高积云和雨层云,雨层云和高层云,高层云和积雨云,C,
102,102,10105019,第102题	试题编号：10105019,飞行中遇到冰粒表明()。,在较高高度上有风切变,在较高高度上有锋区,在较高高度上有急流,航空器周围有雷暴活动,D,
103,103,10105020,第103题	试题编号：10105020,在很厚且没有得到详细云系分布资料的雨层云中做仪表飞行的最大危险是()。,闯入云中埋置的积雨云中,仪表指示失常,迷航,飞错高度层,A,
104,104,10105021,第104题	试题编号：10105021,()表明云中有过冷水存在。,冻雨,毛毛雨,阵雨,冰雹,A,
105,105,10105022,第105题	试题编号：10105022,与山地波相关的驻留云是()。,积状云,卷云,层状云,滚轴状云,D,
106,106,10105023,第106题	试题编号：10105023,()的云底高度经常低于100m。,St,Ns,Cb,Cs,A,
107,107,10105024,第107题	试题编号：10105024,产生阵性降水和间歇性降水的主要云状分别是()。,Cb、Ci,Tcu、Sc,Cb、Ns,Ns、Sc,B,
108,108,10105025,第108题	试题编号：10105025,从航空器上看到云顶明亮,说明云层()。,薄,厚,含水量小,含杂质多,B,
109,109,10105026,第109题	试题编号：10105026,如果天空出现堡状云,则说明()。,气层很不稳定,对流很强,气层很稳定,空中有逆温层,下部有对流发展,D,
110,110,10105027,第110题	试题编号：10105027,在下述何种降水中能见度最差()。,小雨,中雨,大雨,中雪,D,
111,111,10105028,第111题	试题编号：10105028,航空器爬升中遇到冻雨时,可认为()。,上层云中温度在冰点以上,云下温度在冰点以下,上层云中温度在冰点以下,云下温度在冰点以上,上层云中温度在冰点以下,云下温度在冰点以下,上层云中温度在冰点以上,云下温度在冰点以上,B,
112,112,10105029,第112题	试题编号；10105029,如果飞行中发生湿雪形式的降水则()。,飞行高度的温度在冰点以上,飞行高度以上云层温度在冰点以上,地面温度在冰点以下,地面温度在冰点以上,A,
113,113,10105030,第113题	试题编号：10105030,存在()时，说明空中有非常强烈的乱流。,淡积云,荚状云,积雨云,层云,C,
114,114,10105031,第114题	试题编号：10105031,高空风的大小会影响积雨云顶部形状,高空风大时以()积雨云为主。,鬃状,砧状,秃,浓,A,
115,115,20105032,第115题	试题编号：20105032,低云由于其云底高度较低，故对在高空飞行的大型飞机影响较小。,T,F,,,F,
116,116,20105033,第116题	试题编号：20105033,高层云和高积云都属于中云。,T,F,,,T,
117,117,20105034,第117题	试题编号：20105034,低云对飞行的影响不仅因为云所在高度低，而且还因为云底结构复杂。,T,F,,,T,
118,118,20105035,第118题	试题编号：20105035,误入浓积云可能会遭受冰雹的袭击。,T,F,,,F,
119,119,20105036,第119题	试题编号：20105036,如果上午出现堡状云，则午后有可能发展成积雨云。,T,F,,,T,
120,120,20105037,第120题	试题编号：20105037,我国低云出现最少的地区在东北。,T,F,,,F,
121,121,20105038,第121题	试题编号：20105038,我国总云量最多的地区在川黔一带。,T,F,,,T,
122,122,20105039,第122题	试题编号：20105039,在雨层云(NS)和高层云(AS)中，一般无积冰。,T,F,,,F,
123,123,10106001,第123题	试题编号：10106001,大气很干燥的春季,如有强大的冷空气南下,中国西北、华北地区常产生危害飞行的天气现象是()。,大风和沙尘暴天气,强降水,雾,云中积冰,A,
124,124,10106002,第124题	试题编号：10106002,在北半球的()，天气系统一般是自西向东移动的。,极地地区,温带地区,热带地区,赤道附近,B,
125,125,10106003,第125题	试题编号：10106003,按热力分类,气团可以分成()。,赤道、副热带气团,热带、副热带气团,冷、暖气团,北极、冰洋气团,C,
126,126,10106004,第126题	试题编号：10106004,副热带高压中心以晴空为主，而其南侧通常以()。,层状玄为主,积状云为主,晴空为主,卷云为主,B,
127,127,10106005,第127题	试题编号：10106005,当热带风暴发展成台风时,其中心风力可达()以上。,6级(12m/s),9级(21m/s),12级(33m/s),3级(12m/s),C,
128,128,10106006,第128题	试题编号：10106006,热带风暴在海上移行的距离愈长()。,发展得愈强盛,其强度愈弱,天气愈缓和,势力越弱,A,
129,129,10106007,第129题	试题编号：10106007,春秋两季控制我国的气团主要是()。,西伯利亚气团,热带大陆气团,西伯利亚和热带太平洋气团,极地冰洋气团,C,
130,130,10106008,第130题	试题编号：10106008,在北半球与低压区有关的空气环流是（）。,向内、向下和沿反时针方向,向外、向上和沿顺时针方向,向外、向下和沿顺时针方向,向内、向上和沿反时针方向,D,
131,131,10106009,第131题	试题编号：10106009,在赤道两旁的洋面上,气流受副高引导而形成()。,偏东风,偏西风,偏南风,偏北风,A,
132,132,10106010,第132题	试题编号：10106010,热低压位于()。,地面冷高压中,赤道辐合带中,干燥,阳光充裕的地表上空,副热带高压中,C,
133,133,10106011,第133题	试题编号：10106011,副热带高压西北部雷暴一般向()方向移动。,西北,东北,西,南,B,
134,134,10106012,第134题	试题编号：10106012,赤道辐合带中范围最大的云团是()。,季风云团,信风云团,爆米花云团,东风波,A,
135,135,10106013,第135题	试题编号：10106013,东风波是副热带高压南侧发展强盛的气旋性天气系统,其主要的特征是:()。,含有大范围强对流雷暴带,含有大量层状云,以晴空天气为主,高云为主,A,
136,136,10106014,第136题	试题编号：10106014,北半球近地面层,由于大气环流作用而形成的风带是赤道东风带、()、副极地东风带。,中纬度西风带,中纬度东风带,中纬度南风带,中纬度北风带,A,
137,137,10106015,第137题	试题编号：10106015,北半球近地面层，由于大气环流作用而形成的气压带是赤道低压带、()、副极地低 压带、极地高压带。,A.温带气旋带,B,副热带高压带,C.热带风暴带,D.副热带低压带,B,
138,138,10106016,第138题	试题编号：10106016,大尺度天气系统的水平范围约为()。,500~5000km,5000km以上,50〜500km,50km以下,A,
139,139,10106017,第139题	试题编号：10106017,一般而言,气团的水平范围为()。,几十千米到几百千米,几百千米到几千千米,几千千米到几万千米,几万千米以上,B,
140,140,10106018,第140题	试题编号：10106018,我国产生"春雨"或"秋雨"的重要原因是由于()碰撞引起。,冰洋气团和赤道气团,热带太平洋气团和西伯利亚气团,冰洋海洋气团和热带海洋气团,西伯利亚气团和赤道气团,B,
141,141,10106019,第141题	试题编号：10106019,在北纬30度至60度的范围内,受副热带高压带和副极地低压带的影响,形成()。,西风带,东风带,东北信风带,北风带,A,
142,142,10106020,第142题	试题编号：10106020,地面冷高压中空气运动的特点是()。,中心有下沉运动,低层有气流外流,中心有上升运动,低层有气流内流,中心有下沉运动,高层有气流外流,中心有上升运动,高层有气流外流,A,
143,143,10106021,第143题	试题编号：10106021,北半球航空器由西向东穿越槽线飞行时，风向一般会()。,由左侧风变为顶风,由左侧风变为右侧风,由右侧风变为左侧风,由右侧风变为顺风,B,
144,144,10106022,第144题	试题编号：10106022,当航空器在气压槽附近飞行时，由于温度梯度、风向变化引起航空器强烈颠簸时，应 当()以脱离颠簸区。,继续沿槽线飞行,加大速度飞行,改变高度层,向温度梯度大的区域飞行,C,
145,145,10106023,第145题	试题编号：10106023,气旋常生成在()。,锋面上,高空锋区的下方,海面上,冷暖气团之间,B,
146,146,10106024,第146题	试题编号：10106024,对台风移动路径影响最大的天气系统是()。,高空槽,副热带高压,冷锋,温带气旋,B,
147,147,10106025,第147题	试题编号：10106025,冬季侵入我国的西伯利亚气团将产生()天气。,满天层状云,晴空和辐射雾,积状云和雷暴,层积云,B,
148,148,10106026,第148题	试题编号：10106026,当热带风暴外围对流云带消失、热带风暴变圆时,通常预示其将()。,进一步加强,减弱消失,向东运动,向南运动,B,
149,149,20106027,第149题	试题编号：20106027,热带气旋加强时可以看到“眼”更加清晰或其周围的密蔽云区变得更加浓密。,T,F,,,T,
150,150,20106028,第150题	试题编号：20106028,在赤道两旁的洋面上,气流受副高引导而形成偏南风。,T,F,,,F,
151,151,20106029,第151题	试题编号：20106029,地面冷高压中空气运动的特点是中心有下沉运动，低层有气流外流。,T,F,,,T,
152,152,10107001,第152题	试题编号：10107001,在锋面两侧,下面何种气象要素的差异最大()。,风速,气压,空气湿度,气温,D,
153,153,10107002,第153题	试题编号：10107002,在下面各种锋中，锋面天气覆盖面积最广的是()。,冷锋,暖锋,静止锋,锢囚锋,C,
154,154,10107003,第154题	试题编号：10107003,根据冷锋的移动情况可将其分为()。,急行和缓行冷锋,静止和锢囚锋,急行和静止锋,缓行和锢囚锋,A,
155,155,10107004,第155题	试题编号：10107004,夏季,不稳定的急行冷锋中云系主体是()。,层积云,高积云,高层云,沿锋线排列的狭窄积雨云带,D,
156,156,10107005,第156题	试题编号：10107005,冷暖气团间温差最大的区域是()。,槽线附近,锋线附近,切变线附近,飓线附近,B,
157,157,10107006,第157题	试题编号：10107006,锋两侧风速的变化是:当穿越锋到冷区时风速会()。,减小,增大,不变,先增大后减小,B,
158,158,10107007,第158题	试题编号：10107007,哪种类型的天气与具有暖湿不稳定气团的发展中的暖锋有关()。,层状云,闪电,连续性降水,积状云,气流平稳,连续性降水,层状云中有积状云,乱流强,阵性降水,大风,积状云,强烈降温,C,
159,159,10107008,第159题	试题编号：10107008,影响飞行的恶劣天气,如有破坏性的大风,强烈的雷暴等,常与下述哪种天气系统相伴出现()。,快速移动的暖锋,缓慢移动的暖锋,缓行冷锋,急行冷锋,D,
160,160,10107009,第160题	试题编号：10107009,与暖锋有关的影响飞行的天气是()。,天气变化突然,辐射雾,大风,因降水蒸发而形成的雾,D,
161,161,10107010,第161题	试题编号：10107010,关于冷锋,下列说法中不正确的是()。,冷锋一年四季都有,尤其在冬半年更为常见,全国各地都能受其影响,冷锋过后气温降低,层状云中有积状云,乱流强,阵性降水,D,
162,162,10107011,第162题	试题编号：10107011,在()区域飞行,虽然无积雨云的影响,但可产生比较强烈的颠簸。,锋面气旋,热低压,温度梯度很大的,热带气旋,C,
163,163,10107012,第163题	试题编号：10107012,夏季,当报告江南某地区有锋生时,那个地区机场()。,风速加大、降水加强、气流不稳定,可能有埋置雷暴,天气将好转,会有高压区出现,有霾或烟出现,A,
164,164,10107013,第164题	试题编号：10107013,()属于急行冷锋引起的不稳定天气带。,热雷暴,切变线,槽线,飕线,D,
165,165,10107014,第165题	试题编号：10107014,空中锋区表现为温度梯度很大的等温线密集区域,当航空器沿温度梯度方向垂直穿越锋区时因()的改变常引起颠簸。,密度,风向,水汽量,云系,A,
166,166,10107015,第166题	试题编号：10107015,在稳定的暖风上由东北向西南飞行时，经过云系所排列的次序是()。,Ci-Cs-As-Ns,Cs-As-Ci-Ns,Ci-Cc-Ac-Ns,Ns-As-Cs-Ci,A,
167,167,10107016,第167题	试题编号：10107016,稳定的缓行冷锋来临时,所看到的层状云出现的次序是()。,Ci-Cs-As-Ns,As-Ns-Cs-Ci,Ci-As-Cs-Ns,Ns-As-Cs-Ci,D,
168,168,10107017,第168题	试题编号：10107017,稳定的急行冷锋来临时，所看到的层状云出现的次序是()。,Ci-As-Cs-Ns,As-Ns-Cs-Ci,Ci-Cs-As-Ns,Ns-As-Cs-Ci,C,
169,169,10107018,第169题	试题编号：10107018,机长在起飞前从天气图上看到,一条稳定的缓行冷锋正好移到他的目的地机场,他应想到,此时目的地机场的天气状况是()。,阴天,有小雨,湍流较弱,有积雨云,阵雨和大风,晴天,辐射雾和较弱的乱流,雨过天晴,偏北风和较强乱流,A,
